Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind,
14032018T020257,63656589777606.00,1,-1,-1,9,0.85,1,FALSE,FALSE,FALSE,
14032018T020300,63656589780569.00,1,0,target4,9,0.85,1,FALSE,FALSE,FALSE,2963
14032018T020301,63656589781708.00,1,1,target1,9,0.85,1,FALSE,FALSE,FALSE,1139
14032018T020302,63656589782660.00,1,2,target8,9,0.85,1,FALSE,FALSE,FALSE,952
14032018T020303,63656589783306.00,1,3,target7,9,0.85,1,FALSE,FALSE,FALSE,646
14032018T020304,63656589784304.00,1,4,target0,9,0.85,1,FALSE,FALSE,FALSE,998
14032018T020305,63656589785419.00,1,5,target2,9,0.85,1,FALSE,FALSE,FALSE,1115
14032018T020306,63656589786816.00,1,6,target5,9,0.85,1,FALSE,FALSE,FALSE,1397
14032018T020307,63656589787763.00,1,7,target3,9,0.85,1,FALSE,FALSE,FALSE,947
14032018T020308,63656589788610.00,1,8,target6,9,0.85,1,FALSE,FALSE,FALSE,847
14032018T020308,63656589788625.00,2,-1,-1,9,0.85,1,FALSE,FALSE,FALSE,15
14032018T020309,63656589789716.00,2,0,target6,9,0.85,1,FALSE,FALSE,FALSE,1091
14032018T020310,63656589790724.00,2,1,target0,9,0.85,1,FALSE,FALSE,FALSE,1008
14032018T020312,63656589792364.00,2,2,target5,9,0.85,1,FALSE,FALSE,FALSE,1640
14032018T020313,63656589793258.00,2,3,target8,9,0.85,1,FALSE,FALSE,FALSE,894
14032018T020314,63656589794552.00,2,4,target1,9,0.85,1,FALSE,FALSE,FALSE,1294
14032018T020315,63656589795640.00,2,5,target7,9,0.85,1,FALSE,FALSE,FALSE,1088
14032018T020317,63656589797390.00,2,6,target4,9,0.85,1,FALSE,FALSE,FALSE,1750
14032018T020318,63656589798127.00,2,7,target3,9,0.85,1,FALSE,FALSE,FALSE,737
14032018T020319,63656589799087.00,2,8,target2,9,0.85,1,FALSE,FALSE,FALSE,960
14032018T020319,63656589799100.00,3,-1,-1,9,0.85,1,FALSE,FALSE,FALSE,13
14032018T020320,63656589800005.00,3,0,target3,9,0.85,1,FALSE,FALSE,FALSE,905
14032018T020321,63656589801007.00,3,1,target4,9,0.85,1,FALSE,FALSE,FALSE,1002
14032018T020322,63656589802248.00,3,2,target6,9,0.85,1,FALSE,FALSE,FALSE,1241
14032018T020323,63656589803168.00,3,3,target0,9,0.85,1,FALSE,FALSE,FALSE,920
14032018T020324,63656589804090.00,3,4,target7,9,0.85,1,FALSE,FALSE,FALSE,922
14032018T020325,63656589805511.00,3,5,target1,9,0.85,1,FALSE,FALSE,FALSE,1421
14032018T020326,63656589806279.00,3,6,target8,9,0.85,1,FALSE,FALSE,FALSE,768
14032018T020327,63656589807319.00,3,7,target2,9,0.85,1,FALSE,FALSE,FALSE,1040
14032018T020328,63656589808101.00,3,8,target5,9,0.85,1,FALSE,FALSE,FALSE,782
14032018T020328,63656589808115.00,4,-1,-1,9,0.85,1,FALSE,FALSE,FALSE,14
14032018T020328,63656589808983.00,4,0,target0,9,0.85,1,FALSE,FALSE,FALSE,868
14032018T020330,63656589810237.00,4,1,target3,9,0.85,1,FALSE,FALSE,FALSE,1254
14032018T020331,63656589811094.00,4,2,target5,9,0.85,1,FALSE,FALSE,FALSE,857
14032018T020332,63656589812111.00,4,3,target1,9,0.85,1,FALSE,FALSE,FALSE,1017
14032018T020332,63656589812987.00,4,4,target8,9,0.85,1,FALSE,FALSE,FALSE,876
14032018T020333,63656589813981.00,4,5,target7,9,0.85,1,FALSE,FALSE,FALSE,994
14032018T020335,63656589815193.00,4,6,target6,9,0.85,1,FALSE,FALSE,FALSE,1212
14032018T020335,63656589815921.00,4,7,target4,9,0.85,1,FALSE,FALSE,FALSE,728
14032018T020336,63656589816623.00,4,8,target2,9,0.85,1,FALSE,FALSE,FALSE,702
14032018T020336,63656589816636.00,5,-1,-1,9,0.85,1,FALSE,FALSE,FALSE,13
14032018T020337,63656589817372.00,5,0,target8,9,0.85,1,FALSE,FALSE,FALSE,736
14032018T020338,63656589818186.00,5,1,target6,9,0.85,1,FALSE,FALSE,FALSE,814
14032018T020340,63656589820343.00,5,2,target3,9,0.85,1,FALSE,FALSE,FALSE,2157
14032018T020341,63656589821684.00,5,3,target4,9,0.85,1,FALSE,FALSE,FALSE,1341
14032018T020342,63656589822633.00,5,4,target7,9,0.85,1,FALSE,FALSE,FALSE,949
14032018T020343,63656589823526.00,5,5,target5,9,0.85,1,FALSE,FALSE,FALSE,893
14032018T020344,63656589824378.00,5,6,target0,9,0.85,1,FALSE,FALSE,FALSE,852
14032018T020345,63656589825382.00,5,7,target2,9,0.85,1,FALSE,FALSE,FALSE,1004
14032018T020346,63656589826050.00,5,8,target1,9,0.85,1,FALSE,FALSE,FALSE,668
14032018T020346,63656589826064.00,1,-1,-1,9,0.85,2,FALSE,TRUE,FALSE,14
14032018T020352,63656589832804.00,1,0,target4,9,0.85,2,FALSE,TRUE,FALSE,6740
14032018T020356,63656589836540.00,1,1,target0,9,0.85,2,FALSE,TRUE,FALSE,3736
14032018T020358,63656589838025.00,1,2,target7,9,0.85,2,FALSE,TRUE,FALSE,1485
14032018T020359,63656589839243.00,1,3,target3,9,0.85,2,FALSE,TRUE,FALSE,1218
14032018T020400,63656589840264.00,1,4,target8,9,0.85,2,FALSE,TRUE,FALSE,1021
14032018T020404,63656589844639.00,1,5,target1,9,0.85,2,FALSE,TRUE,FALSE,4375
14032018T020406,63656589846271.00,1,6,target6,9,0.85,2,FALSE,TRUE,FALSE,1632
14032018T020406,63656589846961.00,1,7,target5,9,0.85,2,FALSE,TRUE,FALSE,690
14032018T020408,63656589848749.00,1,8,target2,9,0.85,2,FALSE,TRUE,FALSE,1788
14032018T020408,63656589848764.00,2,-1,-1,9,0.85,2,FALSE,TRUE,FALSE,15
14032018T020410,63656589850603.00,2,0,target5,9,0.85,2,FALSE,TRUE,FALSE,1839
14032018T020411,63656589851617.00,2,1,target1,9,0.85,2,FALSE,TRUE,FALSE,1014
14032018T020412,63656589852336.00,2,2,target2,9,0.85,2,FALSE,TRUE,FALSE,719
14032018T020413,63656589853539.00,2,3,target4,9,0.85,2,FALSE,TRUE,FALSE,1203
14032018T020414,63656589854453.00,2,4,target0,9,0.85,2,FALSE,TRUE,FALSE,914
14032018T020415,63656589855502.00,2,5,target8,9,0.85,2,FALSE,TRUE,FALSE,1049
14032018T020416,63656589856153.00,2,6,target7,9,0.85,2,FALSE,TRUE,FALSE,651
14032018T020417,63656589857260.00,2,7,target6,9,0.85,2,FALSE,TRUE,FALSE,1107
14032018T020418,63656589858117.00,2,8,target3,9,0.85,2,FALSE,TRUE,FALSE,857
14032018T020418,63656589858131.00,3,-1,-1,9,0.85,2,FALSE,TRUE,FALSE,14
14032018T020419,63656589859158.00,3,0,target7,9,0.85,2,FALSE,TRUE,FALSE,1027
14032018T020419,63656589859947.00,3,1,target3,9,0.85,2,FALSE,TRUE,FALSE,789
14032018T020421,63656589861133.00,3,2,target1,9,0.85,2,FALSE,TRUE,FALSE,1186
14032018T020421,63656589861754.00,3,3,target8,9,0.85,2,FALSE,TRUE,FALSE,621
14032018T020422,63656589862398.00,3,4,target0,9,0.85,2,FALSE,TRUE,FALSE,644
14032018T020423,63656589863469.00,3,5,target6,9,0.85,2,FALSE,TRUE,FALSE,1071
14032018T020424,63656589864670.00,3,6,target5,9,0.85,2,FALSE,TRUE,FALSE,1201
14032018T020425,63656589865283.00,3,7,target4,9,0.85,2,FALSE,TRUE,FALSE,613
14032018T020426,63656589866564.00,3,8,target2,9,0.85,2,FALSE,TRUE,FALSE,1281
14032018T020426,63656589866577.00,4,-1,-1,9,0.85,2,FALSE,TRUE,FALSE,13
14032018T020427,63656589867513.00,4,0,target8,9,0.85,2,FALSE,TRUE,FALSE,936
14032018T020429,63656589869161.00,4,1,target4,9,0.85,2,FALSE,TRUE,FALSE,1648
14032018T020430,63656589870174.00,4,2,target2,9,0.85,2,FALSE,TRUE,FALSE,1013
14032018T020431,63656589871167.00,4,3,target6,9,0.85,2,FALSE,TRUE,FALSE,993
14032018T020432,63656589872139.00,4,4,target1,9,0.85,2,FALSE,TRUE,FALSE,972
14032018T020432,63656589872730.00,4,5,target0,9,0.85,2,FALSE,TRUE,FALSE,591
14032018T020433,63656589873511.00,4,6,target3,9,0.85,2,FALSE,TRUE,FALSE,781
14032018T020434,63656589874725.00,4,7,target5,9,0.85,2,FALSE,TRUE,FALSE,1214
14032018T020435,63656589875477.00,4,8,target7,9,0.85,2,FALSE,TRUE,FALSE,752
14032018T020435,63656589875491.00,5,-1,-1,9,0.85,2,FALSE,TRUE,FALSE,14
14032018T020436,63656589876157.00,5,0,target8,9,0.85,2,FALSE,TRUE,FALSE,666
14032018T020437,63656589877076.00,5,1,target2,9,0.85,2,FALSE,TRUE,FALSE,919
14032018T020439,63656589879287.00,5,2,target3,9,0.85,2,FALSE,TRUE,FALSE,2211
14032018T020440,63656589880738.00,5,3,target1,9,0.85,2,FALSE,TRUE,FALSE,1451
14032018T020442,63656589882048.00,5,4,target7,9,0.85,2,FALSE,TRUE,FALSE,1310
14032018T020443,63656589883364.00,5,5,target0,9,0.85,2,FALSE,TRUE,FALSE,1316
14032018T020444,63656589884684.00,5,6,target4,9,0.85,2,FALSE,TRUE,FALSE,1320
14032018T020445,63656589885766.00,5,7,target6,9,0.85,2,FALSE,TRUE,FALSE,1082
14032018T020446,63656589886551.00,5,8,target5,9,0.85,2,FALSE,TRUE,FALSE,785
14032018T020446,63656674006249.00,1,-1,-1,9,0.85,3,FALSE,FALSE,TRUE,
14032018T020458,63656674069028.00,1,0,target8,9,0.85,3,FALSE,FALSE,TRUE,62779
14032018T020459,63656674083381.00,1,1,target1,9,0.85,3,FALSE,FALSE,TRUE,14353
14032018T020459,63656674102152.00,1,2,target2,9,0.85,3,FALSE,FALSE,TRUE,18771
14032018T020500,63656674132615.00,1,3,target6,9,0.85,3,FALSE,FALSE,TRUE,30463
14032018T020501,63656674155190.00,1,4,target5,9,0.85,3,FALSE,FALSE,TRUE,22575
14032018T020502,63656674188716.00,1,5,target7,9,0.85,3,FALSE,FALSE,TRUE,33526
14032018T020503,63656674211600.00,1,6,target3,9,0.85,3,FALSE,FALSE,TRUE,22884
14032018T020504,63656674232289.00,1,7,target0,9,0.85,3,FALSE,FALSE,TRUE,20689
14032018T020505,63656674234593.00,1,8,target4,9,0.85,3,FALSE,FALSE,TRUE,2304
14032018T020505,63656674234609.00,2,-1,-1,9,0.85,3,FALSE,FALSE,TRUE,16
14032018T020506,63656674260432.00,2,0,target1,9,0.85,3,FALSE,FALSE,TRUE,25823
14032018T020507,63656674327652.00,2,1,target8,9,0.85,3,FALSE,FALSE,TRUE,67220
14032018T020508,63656674342828.00,2,2,target7,9,0.85,3,FALSE,FALSE,TRUE,15176
14032018T020509,63656674368697.00,2,3,target2,9,0.85,3,FALSE,FALSE,TRUE,25869
14032018T020510,63656674396845.00,2,4,target3,9,0.85,3,FALSE,FALSE,TRUE,28148
14032018T020510,63656674420267.00,2,5,target5,9,0.85,3,FALSE,FALSE,TRUE,23422
14032018T020511,63656674450516.00,2,6,target0,9,0.85,3,FALSE,FALSE,TRUE,30249
14032018T020513,63656674480974.00,2,7,target6,9,0.85,3,FALSE,FALSE,TRUE,30458
