Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
26032018T193833,63657689913718,1,-1,-1,9,0.85,1,False,True,True
26032018T193843,63657689923641,1,0,target2,9,0.85,1,False,True,True
26032018T193850,63657689930115,1,1,target6,9,0.85,1,False,True,True
26032018T193852,63657689932836,1,2,target7,9,0.85,1,False,True,True
26032018T193903,63657689943460,1,3,target3,9,0.85,1,False,True,True
26032018T193906,63657689946788,1,4,target4,9,0.85,1,False,True,True
26032018T193916,63657689956075,1,5,target0,9,0.85,1,False,True,True
26032018T193917,63657689957192,1,6,target1,9,0.85,1,False,True,True
26032018T193922,63657689962747,1,7,target5,9,0.85,1,False,True,True
26032018T193929,63657689969383,1,8,target8,9,0.85,1,False,True,True
26032018T193929,63657689969396,2,-1,-1,9,0.85,1,False,True,True
26032018T193931,63657689971879,2,0,target8,9,0.85,1,False,True,True
26032018T193939,63657689979834,2,1,target5,9,0.85,1,False,True,True
26032018T193941,63657689981709,2,2,target4,9,0.85,1,False,True,True
26032018T193949,63657689989239,2,3,target1,9,0.85,1,False,True,True
26032018T193953,63657689993427,2,4,target2,9,0.85,1,False,True,True
26032018T194016,63657690016538,2,5,target7,9,0.85,1,False,True,True
26032018T194023,63657690023231,2,6,target3,9,0.85,1,False,True,True
26032018T194031,63657690031135,2,7,target0,9,0.85,1,False,True,True
26032018T194037,63657690037961,2,8,target6,9,0.85,1,False,True,True
26032018T194037,63657690037974,3,-1,-1,9,0.85,1,False,True,True
26032018T194046,63657690046281,3,0,target2,9,0.85,1,False,True,True
26032018T194054,63657690054987,3,1,target0,9,0.85,1,False,True,True
26032018T194105,63657690065201,3,2,target3,9,0.85,1,False,True,True
26032018T194110,63657690070540,3,3,target4,9,0.85,1,False,True,True
26032018T194113,63657690073094,3,4,target5,9,0.85,1,False,True,True
26032018T194120,63657690080339,3,5,target8,9,0.85,1,False,True,True
26032018T194124,63657690084663,3,6,target7,9,0.85,1,False,True,True
26032018T194141,63657690101273,3,7,target1,9,0.85,1,False,True,True
26032018T194151,63657690111213,3,8,target6,9,0.85,1,False,True,True
26032018T194151,63657690111227,4,-1,-1,9,0.85,1,False,True,True
26032018T194157,63657690117324,4,0,target8,9,0.85,1,False,True,True
26032018T194204,63657690124001,4,1,target4,9,0.85,1,False,True,True
