Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
26032018T205340,63657694420736,1,-1,-1,9,0.85,1,False,False,True
26032018T205351,63657694431659,1,0,target1,9,0.85,1,False,False,True
26032018T205400,63657694440394,1,1,target3,9,0.85,1,False,False,True
26032018T205407,63657694447003,1,2,target8,9,0.85,1,False,False,True
26032018T205421,63657694461862,1,3,target2,9,0.85,1,False,False,True
26032018T205433,63657694473018,1,4,target4,9,0.85,1,False,False,True
26032018T205439,63657694479187,1,5,target5,9,0.85,1,False,False,True
26032018T205446,63657694486882,1,6,target7,9,0.85,1,False,False,True
26032018T205457,63657694497337,1,7,target6,9,0.85,1,False,False,True
26032018T205505,63657694505393,1,8,target0,9,0.85,1,False,False,True
26032018T205505,63657694505409,2,-1,-1,9,0.85,1,False,False,True
26032018T205507,63657694507278,2,0,target0,9,0.85,1,False,False,True
26032018T205517,63657694517658,2,1,target2,9,0.85,1,False,False,True
26032018T205527,63657694527276,2,2,target1,9,0.85,1,False,False,True
26032018T205533,63657694533238,2,3,target6,9,0.85,1,False,False,True
26032018T205539,63657694539635,2,4,target4,9,0.85,1,False,False,True
26032018T205546,63657694546229,2,5,target3,9,0.85,1,False,False,True
26032018T205554,63657694554956,2,6,target7,9,0.85,1,False,False,True
26032018T205602,63657694562014,2,7,target5,9,0.85,1,False,False,True
26032018T205611,63657694571452,2,8,target8,9,0.85,1,False,False,True
26032018T205611,63657694571468,3,-1,-1,9,0.85,1,False,False,True
26032018T205621,63657694581134,3,0,target4,9,0.85,1,False,False,True
26032018T205628,63657694588902,3,1,target8,9,0.85,1,False,False,True
26032018T205633,63657694593954,3,2,target7,9,0.85,1,False,False,True
26032018T205641,63657694601596,3,3,target6,9,0.85,1,False,False,True
26032018T205655,63657694615536,3,4,target1,9,0.85,1,False,False,True
26032018T205703,63657694623746,3,5,target2,9,0.85,1,False,False,True
26032018T205710,63657694630233,3,6,target0,9,0.85,1,False,False,True
26032018T205716,63657694636156,3,7,target3,9,0.85,1,False,False,True
26032018T205720,63657694640210,3,8,target5,9,0.85,1,False,False,True
26032018T205720,63657694640224,4,-1,-1,9,0.85,1,False,False,True
26032018T205727,63657694647749,4,0,target3,9,0.85,1,False,False,True
26032018T205734,63657694654898,4,1,target0,9,0.85,1,False,False,True
26032018T205753,63657694673665,4,2,target7,9,0.85,1,False,False,True
26032018T205759,63657694679572,4,3,target8,9,0.85,1,False,False,True
26032018T205816,63657694696935,4,4,target2,9,0.85,1,False,False,True
26032018T205824,63657694704693,4,5,target6,9,0.85,1,False,False,True
26032018T205836,63657694716634,4,6,target4,9,0.85,1,False,False,True
26032018T205836,63657694716968,4,7,target5,9,0.85,1,False,False,True
26032018T205847,63657694727529,4,8,target1,9,0.85,1,False,False,True
26032018T205847,63657694727543,5,-1,-1,9,0.85,1,False,False,True
26032018T205900,63657694740760,5,0,target6,9,0.85,1,False,False,True
26032018T205905,63657694745343,5,1,target8,9,0.85,1,False,False,True
26032018T205907,63657694747901,5,2,target0,9,0.85,1,False,False,True
26032018T205914,63657694754454,5,3,target7,9,0.85,1,False,False,True
26032018T205919,63657694759543,5,4,target5,9,0.85,1,False,False,True
26032018T205924,63657694764796,5,5,target1,9,0.85,1,False,False,True
26032018T205925,63657694765066,5,6,target2,9,0.85,1,False,False,True
26032018T205932,63657694772209,5,7,target4,9,0.85,1,False,False,True
26032018T205941,63657694781161,5,8,target3,9,0.85,1,False,False,True
26032018T205941,63657694781176,1,-1,-1,9,0.85,2,False,False,False
26032018T205945,63657694785885,1,0,target7,9,0.85,2,False,False,False
26032018T205946,63657694786655,1,1,target4,9,0.85,2,False,False,False
26032018T205947,63657694787375,1,2,target1,9,0.85,2,False,False,False
26032018T205948,63657694788119,1,3,target3,9,0.85,2,False,False,False
26032018T205948,63657694788779,1,4,target8,9,0.85,2,False,False,False
26032018T205949,63657694789605,1,5,target6,9,0.85,2,False,False,False
26032018T205950,63657694790599,1,6,target5,9,0.85,2,False,False,False
26032018T205951,63657694791304,1,7,target2,9,0.85,2,False,False,False
26032018T205951,63657694791997,1,8,target0,9,0.85,2,False,False,False
26032018T205952,63657694792010,2,-1,-1,9,0.85,2,False,False,False
26032018T205952,63657694792701,2,0,target6,9,0.85,2,False,False,False
26032018T205953,63657694793359,2,1,target7,9,0.85,2,False,False,False
26032018T205954,63657694794107,2,2,target1,9,0.85,2,False,False,False
26032018T205954,63657694794806,2,3,target8,9,0.85,2,False,False,False
26032018T205955,63657694795426,2,4,target2,9,0.85,2,False,False,False
26032018T205955,63657694795922,2,5,target4,9,0.85,2,False,False,False
26032018T205956,63657694796656,2,6,target3,9,0.85,2,False,False,False
26032018T205957,63657694797387,2,7,target0,9,0.85,2,False,False,False
26032018T205957,63657694797966,2,8,target5,9,0.85,2,False,False,False
26032018T205957,63657694797980,3,-1,-1,9,0.85,2,False,False,False
26032018T205958,63657694798530,3,0,target6,9,0.85,2,False,False,False
26032018T210000,63657694800064,3,1,target0,9,0.85,2,False,False,False
26032018T210000,63657694800677,3,2,target2,9,0.85,2,False,False,False
26032018T210001,63657694801291,3,3,target1,9,0.85,2,False,False,False
26032018T210002,63657694802008,3,4,target5,9,0.85,2,False,False,False
26032018T210002,63657694802498,3,5,target7,9,0.85,2,False,False,False
26032018T210003,63657694803569,3,6,target4,9,0.85,2,False,False,False
26032018T210004,63657694804043,3,7,target3,9,0.85,2,False,False,False
26032018T210004,63657694804696,3,8,target8,9,0.85,2,False,False,False
26032018T210004,63657694804713,4,-1,-1,9,0.85,2,False,False,False
26032018T210005,63657694805209,4,0,target6,9,0.85,2,False,False,False
26032018T210006,63657694806394,4,1,target4,9,0.85,2,False,False,False
26032018T210006,63657694806943,4,2,target5,9,0.85,2,False,False,False
26032018T210007,63657694807548,4,3,target3,9,0.85,2,False,False,False
26032018T210008,63657694808130,4,4,target2,9,0.85,2,False,False,False
26032018T210008,63657694808873,4,5,target8,9,0.85,2,False,False,False
26032018T210009,63657694809647,4,6,target0,9,0.85,2,False,False,False
26032018T210010,63657694810631,4,7,target7,9,0.85,2,False,False,False
26032018T210011,63657694811561,4,8,target1,9,0.85,2,False,False,False
26032018T210011,63657694811576,5,-1,-1,9,0.85,2,False,False,False
26032018T210012,63657694812425,5,0,target5,9,0.85,2,False,False,False
26032018T210013,63657694813301,5,1,target8,9,0.85,2,False,False,False
26032018T210013,63657694813895,5,2,target7,9,0.85,2,False,False,False
26032018T210014,63657694814699,5,3,target1,9,0.85,2,False,False,False
26032018T210015,63657694815366,5,4,target2,9,0.85,2,False,False,False
26032018T210016,63657694816096,5,5,target6,9,0.85,2,False,False,False
26032018T210016,63657694816773,5,6,target0,9,0.85,2,False,False,False
26032018T210017,63657694817512,5,7,target4,9,0.85,2,False,False,False
26032018T210018,63657694818171,5,8,target3,9,0.85,2,False,False,False
26032018T210018,63657694818190,1,-1,-1,9,0.85,3,False,True,True
26032018T210022,63657694822511,1,0,target2,9,0.85,3,False,True,True
26032018T210032,63657694832240,1,1,target6,9,0.85,3,False,True,True
26032018T210040,63657694840175,1,2,target0,9,0.85,3,False,True,True
26032018T210048,63657694848682,1,3,target4,9,0.85,3,False,True,True
26032018T210058,63657694858880,1,4,target5,9,0.85,3,False,True,True
26032018T210110,63657694870489,1,5,target8,9,0.85,3,False,True,True
26032018T210124,63657694884615,1,6,target1,9,0.85,3,False,True,True
26032018T210134,63657694894088,1,7,target3,9,0.85,3,False,True,True
26032018T210141,63657694901973,1,8,target7,9,0.85,3,False,True,True
26032018T210141,63657694901986,2,-1,-1,9,0.85,3,False,True,True
26032018T210153,63657694913322,2,0,target1,9,0.85,3,False,True,True
26032018T210158,63657694918706,2,1,target0,9,0.85,3,False,True,True
26032018T210209,63657694929251,2,2,target3,9,0.85,3,False,True,True
