Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
26032018T190038,63657687638919,1,-1,-1,9,0.85,1,False,False,True
26032018T190053,63657687653011,1,0,target3,9,0.85,1,False,False,True
26032018T190057,63657687657915,1,1,target7,9,0.85,1,False,False,True
26032018T190104,63657687664528,1,2,target5,9,0.85,1,False,False,True
26032018T190113,63657687673120,1,3,target0,9,0.85,1,False,False,True
26032018T190117,63657687677578,1,4,target4,9,0.85,1,False,False,True
26032018T190123,63657687683544,1,5,target8,9,0.85,1,False,False,True
26032018T190154,63657687714055,1,6,target2,9,0.85,1,False,False,True
26032018T190222,63657687742038,1,7,target1,9,0.85,1,False,False,True
26032018T190225,63657687745925,1,8,target6,9,0.85,1,False,False,True
26032018T190225,63657687745939,2,-1,-1,9,0.85,1,False,False,True
26032018T190236,63657687756017,2,0,target3,9,0.85,1,False,False,True
26032018T190246,63657687766343,2,1,target8,9,0.85,1,False,False,True
26032018T190310,63657687790457,2,2,target6,9,0.85,1,False,False,True
26032018T190332,63657687812652,2,3,target2,9,0.85,1,False,False,True
26032018T190346,63657687826047,2,4,target4,9,0.85,1,False,False,True
26032018T190411,63657687851836,2,5,target0,9,0.85,1,False,False,True
26032018T190420,63657687860155,2,6,target1,9,0.85,1,False,False,True
26032018T190424,63657687864891,2,7,target7,9,0.85,1,False,False,True
26032018T190439,63657687879932,2,8,target5,9,0.85,1,False,False,True
26032018T190439,63657687879947,3,-1,-1,9,0.85,1,False,False,True
26032018T190453,63657687893434,3,0,target0,9,0.85,1,False,False,True
26032018T190459,63657687899560,3,1,target1,9,0.85,1,False,False,True
26032018T190515,63657687915575,3,2,target3,9,0.85,1,False,False,True
26032018T190539,63657687939803,3,3,target5,9,0.85,1,False,False,True
26032018T190558,63657687958590,3,4,target2,9,0.85,1,False,False,True
26032018T190605,63657687965657,3,5,target8,9,0.85,1,False,False,True
26032018T190610,63657687970225,3,6,target6,9,0.85,1,False,False,True
26032018T190617,63657687977105,3,7,target4,9,0.85,1,False,False,True
26032018T190622,63657687982578,3,8,target7,9,0.85,1,False,False,True
26032018T190622,63657687982601,4,-1,-1,9,0.85,1,False,False,True
26032018T190628,63657687988633,4,0,target3,9,0.85,1,False,False,True
26032018T190640,63657688000939,4,1,target6,9,0.85,1,False,False,True
26032018T190700,63657688020990,4,2,target1,9,0.85,1,False,False,True
26032018T190701,63657688021638,4,3,target0,9,0.85,1,False,False,True
26032018T190705,63657688025863,4,4,target7,9,0.85,1,False,False,True
26032018T190724,63657688044003,4,5,target5,9,0.85,1,False,False,True
26032018T190735,63657688055160,4,6,target8,9,0.85,1,False,False,True
26032018T190742,63657688062767,4,7,target2,9,0.85,1,False,False,True
26032018T190744,63657688064632,4,8,target4,9,0.85,1,False,False,True
26032018T190744,63657688064646,5,-1,-1,9,0.85,1,False,False,True
26032018T190746,63657688066357,5,0,target6,9,0.85,1,False,False,True
26032018T190757,63657688077140,5,1,target0,9,0.85,1,False,False,True
26032018T190815,63657688095749,5,2,target2,9,0.85,1,False,False,True
26032018T190848,63657688128174,5,3,target3,9,0.85,1,False,False,True
26032018T190856,63657688136517,5,4,target7,9,0.85,1,False,False,True
26032018T190907,63657688147297,5,5,target1,9,0.85,1,False,False,True
26032018T190909,63657688149470,5,6,target8,9,0.85,1,False,False,True
26032018T190914,63657688154682,5,7,target4,9,0.85,1,False,False,True
26032018T190916,63657688156626,5,8,target5,9,0.85,1,False,False,True
26032018T190916,63657688156645,1,-1,-1,9,0.85,2,False,True,False
26032018T190918,63657688158461,1,0,target6,9,0.85,2,False,True,False
26032018T190926,63657688166389,1,1,target3,9,0.85,2,False,True,False
26032018T190933,63657688173176,1,2,target4,9,0.85,2,False,True,False
26032018T190934,63657688174187,1,3,target1,9,0.85,2,False,True,False
26032018T190934,63657688174879,1,4,target5,9,0.85,2,False,True,False
26032018T190935,63657688175575,1,5,target8,9,0.85,2,False,True,False
26032018T190936,63657688176304,1,6,target7,9,0.85,2,False,True,False
26032018T190936,63657688176991,1,7,target0,9,0.85,2,False,True,False
26032018T190937,63657688177657,1,8,target2,9,0.85,2,False,True,False
26032018T190937,63657688177671,2,-1,-1,9,0.85,2,False,True,False
26032018T190938,63657688178257,2,0,target5,9,0.85,2,False,True,False
26032018T190938,63657688178895,2,1,target0,9,0.85,2,False,True,False
26032018T190939,63657688179569,2,2,target2,9,0.85,2,False,True,False
26032018T190940,63657688180337,2,3,target3,9,0.85,2,False,True,False
26032018T190941,63657688181264,2,4,target8,9,0.85,2,False,True,False
26032018T190941,63657688181794,2,5,target6,9,0.85,2,False,True,False
26032018T190942,63657688182422,2,6,target7,9,0.85,2,False,True,False
