Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
26032018T181631,63657684991572,1,-1,-1,9,0.85,1,False,False,False
26032018T181636,63657684996097,1,0,target1,9,0.85,1,False,False,False
26032018T181636,63657684996825,1,1,target5,9,0.85,1,False,False,False
26032018T181637,63657684997480,1,2,target4,9,0.85,1,False,False,False
26032018T181638,63657684998167,1,3,target2,9,0.85,1,False,False,False
26032018T181638,63657684998845,1,4,target0,9,0.85,1,False,False,False
26032018T181639,63657684999525,1,5,target6,9,0.85,1,False,False,False
26032018T181640,63657685000259,1,6,target7,9,0.85,1,False,False,False
26032018T181641,63657685001115,1,7,target3,9,0.85,1,False,False,False
26032018T181641,63657685001946,1,8,target8,9,0.85,1,False,False,False
26032018T181641,63657685001962,2,-1,-1,9,0.85,1,False,False,False
26032018T181643,63657685003086,2,0,target5,9,0.85,1,False,False,False
26032018T181643,63657685003796,2,1,target2,9,0.85,1,False,False,False
26032018T181644,63657685004390,2,2,target3,9,0.85,1,False,False,False
26032018T181645,63657685005184,2,3,target4,9,0.85,1,False,False,False
26032018T181646,63657685006327,2,4,target7,9,0.85,1,False,False,False
26032018T181647,63657685007087,2,5,target0,9,0.85,1,False,False,False
26032018T181647,63657685007925,2,6,target8,9,0.85,1,False,False,False
26032018T181648,63657685008637,2,7,target6,9,0.85,1,False,False,False
26032018T181649,63657685009408,2,8,target1,9,0.85,1,False,False,False
26032018T181649,63657685009425,3,-1,-1,9,0.85,1,False,False,False
26032018T181650,63657685010125,3,0,target2,9,0.85,1,False,False,False
26032018T181650,63657685010848,3,1,target0,9,0.85,1,False,False,False
26032018T181651,63657685011546,3,2,target4,9,0.85,1,False,False,False
26032018T181652,63657685012220,3,3,target8,9,0.85,1,False,False,False
26032018T181653,63657685013062,3,4,target7,9,0.85,1,False,False,False
26032018T181653,63657685013677,3,5,target5,9,0.85,1,False,False,False
26032018T181654,63657685014449,3,6,target6,9,0.85,1,False,False,False
26032018T181655,63657685015226,3,7,target3,9,0.85,1,False,False,False
26032018T181655,63657685015818,3,8,target1,9,0.85,1,False,False,False
26032018T181655,63657685015832,4,-1,-1,9,0.85,1,False,False,False
26032018T181656,63657685016565,4,0,target3,9,0.85,1,False,False,False
26032018T181658,63657685018288,4,1,target7,9,0.85,1,False,False,False
26032018T181659,63657685019106,4,2,target0,9,0.85,1,False,False,False
26032018T181659,63657685019830,4,3,target1,9,0.85,1,False,False,False
26032018T181700,63657685020621,4,4,target6,9,0.85,1,False,False,False
26032018T181701,63657685021355,4,5,target8,9,0.85,1,False,False,False
26032018T181702,63657685022020,4,6,target5,9,0.85,1,False,False,False
26032018T181702,63657685022619,4,7,target2,9,0.85,1,False,False,False
26032018T181704,63657685024029,4,8,target4,9,0.85,1,False,False,False
26032018T181704,63657685024044,5,-1,-1,9,0.85,1,False,False,False
26032018T181704,63657685024766,5,0,target4,9,0.85,1,False,False,False
