Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
13032018T062226,63656518946649,1,-1,-1,9,0.85,1,False,True,True
13032018T062332,63656519012280,1,0,target1,9,0.85,1,False,True,True
13032018T062344,63656519024590,1,1,target5,9,0.85,1,False,True,True
13032018T062352,63656519032308,1,2,target6,9,0.85,1,False,True,True
13032018T062433,63656519073965,1,3,target0,9,0.85,1,False,True,True
13032018T062442,63656519082606,1,4,target8,9,0.85,1,False,True,True
13032018T062456,63656519096420,1,5,target7,9,0.85,1,False,True,True
13032018T062510,63656519110952,1,6,target4,9,0.85,1,False,True,True
13032018T062535,63656519135023,1,7,target2,9,0.85,1,False,True,True
13032018T062705,63656519225031,1,8,target3,9,0.85,1,False,True,True
13032018T062705,63656519225053,2,-1,-1,9,0.85,1,False,True,True
13032018T062853,63656519333566,2,0,target1,9,0.85,1,False,True,True
13032018T062912,63656519352674,2,1,target8,9,0.85,1,False,True,True
13032018T063009,63656519409156,2,2,target6,9,0.85,1,False,True,True
13032018T063027,63656519427951,2,3,target3,9,0.85,1,False,True,True
13032018T063046,63656519446870,2,4,target7,9,0.85,1,False,True,True
13032018T063214,63656519534738,2,5,target2,9,0.85,1,False,True,True
13032018T063244,63656519564535,2,6,target0,9,0.85,1,False,True,True
13032018T063300,63656519580618,2,7,target5,9,0.85,1,False,True,True
13032018T063329,63656519609458,2,8,target4,9,0.85,1,False,True,True
13032018T063329,63656519609478,3,-1,-1,9,0.85,1,False,True,True
13032018T063449,63656519689740,3,0,target2,9,0.85,1,False,True,True
13032018T063518,63656519718290,3,1,target5,9,0.85,1,False,True,True
13032018T063541,63656519741597,3,2,target0,9,0.85,1,False,True,True
13032018T063559,63656519759995,3,3,target6,9,0.85,1,False,True,True
13032018T063627,63656519787395,3,4,target4,9,0.85,1,False,True,True
13032018T063636,63656519796548,3,5,target3,9,0.85,1,False,True,True
13032018T063654,63656519814458,3,6,target7,9,0.85,1,False,True,True
13032018T063700,63656519820002,3,7,target8,9,0.85,1,False,True,True
13032018T063746,63656519866742,3,8,target1,9,0.85,1,False,True,True
13032018T063746,63656519866764,4,-1,-1,9,0.85,1,False,True,True
13032018T063825,63656519905874,4,0,target6,9,0.85,1,False,True,True
13032018T063925,63656519965382,4,1,target8,9,0.85,1,False,True,True
13032018T063943,63656519983621,4,2,target0,9,0.85,1,False,True,True
13032018T064043,63656520043600,4,3,target4,9,0.85,1,False,True,True
13032018T064147,63656520107001,4,4,target1,9,0.85,1,False,True,True
13032018T064203,63656520123933,4,5,target7,9,0.85,1,False,True,True
13032018T064212,63656520132257,4,6,target5,9,0.85,1,False,True,True
13032018T064351,63656520231068,4,7,target2,9,0.85,1,False,True,True
13032018T064431,63656520271858,4,8,target3,9,0.85,1,False,True,True
13032018T064431,63656520271877,5,-1,-1,9,0.85,1,False,True,True
13032018T064455,63656520295473,5,0,target5,9,0.85,1,False,True,True
13032018T064550,63656520350790,5,1,target8,9,0.85,1,False,True,True
13032018T064641,63656520401758,5,2,target7,9,0.85,1,False,True,True
13032018T064704,63656520424472,5,3,target4,9,0.85,1,False,True,True
13032018T064722,63656520442341,5,4,target3,9,0.85,1,False,True,True
13032018T064807,63656520487190,5,5,target1,9,0.85,1,False,True,True
13032018T064816,63656520496636,5,6,target2,9,0.85,1,False,True,True
13032018T064849,63656520529799,5,7,target6,9,0.85,1,False,True,True
13032018T064857,63656520537367,5,8,target0,9,0.85,1,False,True,True
13032018T064857,63656520537390,1,-1,-1,9,0.85,2,False,False,True
13032018T064905,63656520545865,1,0,target8,9,0.85,2,False,False,True
13032018T064914,63656520554562,1,1,target0,9,0.85,2,False,False,True
13032018T065009,63656520609532,1,2,target4,9,0.85,2,False,False,True
13032018T065015,63656520615487,1,3,target5,9,0.85,2,False,False,True
13032018T065032,63656520632723,1,4,target2,9,0.85,2,False,False,True
13032018T065042,63656520642485,1,5,target6,9,0.85,2,False,False,True
13032018T065104,63656520664366,1,6,target3,9,0.85,2,False,False,True
13032018T065111,63656520671977,1,7,target1,9,0.85,2,False,False,True
13032018T065127,63656520687202,1,8,target7,9,0.85,2,False,False,True
13032018T065127,63656520687220,2,-1,-1,9,0.85,2,False,False,True
13032018T065127,63656520687478,2,0,target7,9,0.85,2,False,False,True
13032018T065152,63656520712585,2,1,target1,9,0.85,2,False,False,True
13032018T065203,63656520723811,2,2,target6,9,0.85,2,False,False,True
13032018T065236,63656520756375,2,3,target4,9,0.85,2,False,False,True
13032018T065249,63656520769136,2,4,target8,9,0.85,2,False,False,True
13032018T065328,63656520808177,2,5,target2,9,0.85,2,False,False,True
13032018T065337,63656520817523,2,6,target0,9,0.85,2,False,False,True
13032018T065345,63656520825567,2,7,target5,9,0.85,2,False,False,True
13032018T065408,63656520848330,2,8,target3,9,0.85,2,False,False,True
13032018T065408,63656520848353,3,-1,-1,9,0.85,2,False,False,True
