Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
14032018T013807,63656588287928,1,-1,-1,9,0.85,1,False,True,False
14032018T013809,63656588289143,1,0,target0,9,0.85,1,False,True,False
14032018T013810,63656588290082,1,1,target3,9,0.85,1,False,True,False
14032018T013810,63656588290798,1,2,target5,9,0.85,1,False,True,False
14032018T013811,63656588291523,1,3,target8,9,0.85,1,False,True,False
14032018T013812,63656588292281,1,4,target4,9,0.85,1,False,True,False
14032018T013813,63656588293024,1,5,target7,9,0.85,1,False,True,False
14032018T013813,63656588293666,1,6,target1,9,0.85,1,False,True,False
14032018T013814,63656588294313,1,7,target6,9,0.85,1,False,True,False
14032018T013814,63656588294985,1,8,target2,9,0.85,1,False,True,False
14032018T013814,63656588294997,2,-1,-1,9,0.85,1,False,True,False
14032018T013815,63656588295653,2,0,target7,9,0.85,1,False,True,False
14032018T013816,63656588296323,2,1,target4,9,0.85,1,False,True,False
14032018T013816,63656588296869,2,2,target2,9,0.85,1,False,True,False
14032018T013817,63656588297508,2,3,target8,9,0.85,1,False,True,False
14032018T013818,63656588298124,2,4,target1,9,0.85,1,False,True,False
14032018T013818,63656588298727,2,5,target3,9,0.85,1,False,True,False
14032018T013819,63656588299395,2,6,target0,9,0.85,1,False,True,False
14032018T013820,63656588300026,2,7,target6,9,0.85,1,False,True,False
14032018T013820,63656588300827,2,8,target5,9,0.85,1,False,True,False
14032018T013820,63656588300842,3,-1,-1,9,0.85,1,False,True,False
14032018T013821,63656588301429,3,0,target5,9,0.85,1,False,True,False
14032018T013821,63656588301997,3,1,target6,9,0.85,1,False,True,False
14032018T013822,63656588302583,3,2,target7,9,0.85,1,False,True,False
14032018T013823,63656588303193,3,3,target3,9,0.85,1,False,True,False
14032018T013823,63656588303779,3,4,target4,9,0.85,1,False,True,False
14032018T013824,63656588304402,3,5,target0,9,0.85,1,False,True,False
14032018T013824,63656588304913,3,6,target8,9,0.85,1,False,True,False
14032018T013825,63656588305775,3,7,target2,9,0.85,1,False,True,False
14032018T013826,63656588306321,3,8,target1,9,0.85,1,False,True,False
14032018T013826,63656588306334,4,-1,-1,9,0.85,1,False,True,False
14032018T013826,63656588306984,4,0,target5,9,0.85,1,False,True,False
14032018T013827,63656588307559,4,1,target2,9,0.85,1,False,True,False
14032018T013828,63656588308130,4,2,target8,9,0.85,1,False,True,False
14032018T013828,63656588308650,4,3,target3,9,0.85,1,False,True,False
14032018T013829,63656588309155,4,4,target0,9,0.85,1,False,True,False
14032018T013829,63656588309783,4,5,target6,9,0.85,1,False,True,False
14032018T013830,63656588310308,4,6,target7,9,0.85,1,False,True,False
14032018T013830,63656588310956,4,7,target4,9,0.85,1,False,True,False
14032018T013831,63656588311548,4,8,target1,9,0.85,1,False,True,False
14032018T013831,63656588311561,5,-1,-1,9,0.85,1,False,True,False
14032018T013832,63656588312185,5,0,target7,9,0.85,1,False,True,False
14032018T013832,63656588312867,5,1,target6,9,0.85,1,False,True,False
14032018T013833,63656588313426,5,2,target3,9,0.85,1,False,True,False
14032018T013834,63656588314061,5,3,target0,9,0.85,1,False,True,False
14032018T013834,63656588314747,5,4,target2,9,0.85,1,False,True,False
14032018T013835,63656588315391,5,5,target5,9,0.85,1,False,True,False
14032018T013836,63656588316039,5,6,target1,9,0.85,1,False,True,False
14032018T013836,63656588316743,5,7,target4,9,0.85,1,False,True,False
14032018T013837,63656588317380,5,8,target8,9,0.85,1,False,True,False
