Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
15032018T012646,6.36567E+13,1,-1,-1,9,0.85,1,FALSE,FALSE,TRUE
15032018T012647,6.36567E+13,1,0,target2,9,0.85,1,FALSE,FALSE,TRUE
15032018T012648,6.36567E+13,1,1,target5,9,0.85,1,FALSE,FALSE,TRUE
15032018T012649,6.36567E+13,1,2,target4,9,0.85,1,FALSE,FALSE,TRUE
15032018T012650,6.36567E+13,1,3,target1,9,0.85,1,FALSE,FALSE,TRUE
15032018T012651,6.36567E+13,1,4,target7,9,0.85,1,FALSE,FALSE,TRUE
15032018T012652,6.36567E+13,1,5,target6,9,0.85,1,FALSE,FALSE,TRUE
15032018T012653,6.36567E+13,1,6,target3,9,0.85,1,FALSE,FALSE,TRUE
15032018T012654,6.36567E+13,1,7,target8,9,0.85,1,FALSE,FALSE,TRUE
15032018T012655,6.36567E+13,1,8,target0,9,0.85,1,FALSE,FALSE,TRUE
15032018T012656,6.36567E+13,2,-1,-1,9,0.85,1,FALSE,FALSE,TRUE
15032018T012657,6.36567E+13,2,0,target6,9,0.85,1,FALSE,FALSE,TRUE
15032018T012658,6.36567E+13,2,1,target2,9,0.85,1,FALSE,FALSE,TRUE
15032018T012659,6.36567E+13,2,2,target7,9,0.85,1,FALSE,FALSE,TRUE
15032018T012660,6.36567E+13,2,3,target4,9,0.85,1,FALSE,FALSE,TRUE
15032018T012661,6.36567E+13,2,4,target1,9,0.85,1,FALSE,FALSE,TRUE
15032018T012662,6.36567E+13,2,5,target5,9,0.85,1,FALSE,FALSE,TRUE
15032018T012663,6.36567E+13,2,6,target3,9,0.85,1,FALSE,FALSE,TRUE
15032018T012664,6.36567E+13,2,7,target8,9,0.85,1,FALSE,FALSE,TRUE
15032018T012665,6.36567E+13,2,8,target0,9,0.85,1,FALSE,FALSE,TRUE
15032018T012666,6.36567E+13,3,-1,-1,9,0.85,1,FALSE,FALSE,TRUE
15032018T012667,6.36567E+13,3,0,target5,9,0.85,1,FALSE,FALSE,TRUE
15032018T012668,6.36567E+13,3,1,target0,9,0.85,1,FALSE,FALSE,TRUE
15032018T012669,6.36567E+13,3,2,target1,9,0.85,1,FALSE,FALSE,TRUE
15032018T012670,6.36567E+13,3,3,target8,9,0.85,1,FALSE,FALSE,TRUE
15032018T012671,6.36567E+13,3,4,target6,9,0.85,1,FALSE,FALSE,TRUE
15032018T012672,6.36567E+13,3,5,target7,9,0.85,1,FALSE,FALSE,TRUE
15032018T012673,6.36567E+13,3,6,target3,9,0.85,1,FALSE,FALSE,TRUE
15032018T012674,6.36567E+13,3,7,target2,9,0.85,1,FALSE,FALSE,TRUE
15032018T012675,6.36567E+13,3,8,target4,9,0.85,1,FALSE,FALSE,TRUE
15032018T012676,6.36567E+13,4,-1,-1,9,0.85,1,FALSE,FALSE,TRUE
15032018T012677,6.36567E+13,4,0,target6,9,0.85,1,FALSE,FALSE,TRUE
15032018T012678,6.36567E+13,4,1,target0,9,0.85,1,FALSE,FALSE,TRUE
15032018T012679,6.36567E+13,4,2,target5,9,0.85,1,FALSE,FALSE,TRUE
15032018T012680,6.36567E+13,4,3,target8,9,0.85,1,FALSE,FALSE,TRUE
15032018T012681,6.36567E+13,4,4,target4,9,0.85,1,FALSE,FALSE,TRUE
15032018T012682,6.36567E+13,4,5,target3,9,0.85,1,FALSE,FALSE,TRUE
15032018T012683,6.36567E+13,4,6,target7,9,0.85,1,FALSE,FALSE,TRUE
15032018T012684,6.36567E+13,4,7,target2,9,0.85,1,FALSE,FALSE,TRUE
15032018T012685,6.36567E+13,4,8,target1,9,0.85,1,FALSE,FALSE,TRUE
