Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
14032018T020257,63656589777606,1,-1,-1,9,0.85,1,False,False,False
14032018T020300,63656589780569,1,0,target4,9,0.85,1,False,False,False
14032018T020301,63656589781708,1,1,target1,9,0.85,1,False,False,False
14032018T020302,63656589782660,1,2,target8,9,0.85,1,False,False,False
14032018T020303,63656589783306,1,3,target7,9,0.85,1,False,False,False
14032018T020304,63656589784304,1,4,target0,9,0.85,1,False,False,False
14032018T020305,63656589785419,1,5,target2,9,0.85,1,False,False,False
14032018T020306,63656589786816,1,6,target5,9,0.85,1,False,False,False
14032018T020307,63656589787763,1,7,target3,9,0.85,1,False,False,False
14032018T020308,63656589788610,1,8,target6,9,0.85,1,False,False,False
14032018T020308,63656589788625,2,-1,-1,9,0.85,1,False,False,False
14032018T020309,63656589789716,2,0,target6,9,0.85,1,False,False,False
14032018T020310,63656589790724,2,1,target0,9,0.85,1,False,False,False
14032018T020312,63656589792364,2,2,target5,9,0.85,1,False,False,False
14032018T020313,63656589793258,2,3,target8,9,0.85,1,False,False,False
14032018T020314,63656589794552,2,4,target1,9,0.85,1,False,False,False
14032018T020315,63656589795640,2,5,target7,9,0.85,1,False,False,False
14032018T020317,63656589797390,2,6,target4,9,0.85,1,False,False,False
14032018T020318,63656589798127,2,7,target3,9,0.85,1,False,False,False
14032018T020319,63656589799087,2,8,target2,9,0.85,1,False,False,False
14032018T020319,63656589799100,3,-1,-1,9,0.85,1,False,False,False
14032018T020320,63656589800005,3,0,target3,9,0.85,1,False,False,False
14032018T020321,63656589801007,3,1,target4,9,0.85,1,False,False,False
14032018T020322,63656589802248,3,2,target6,9,0.85,1,False,False,False
14032018T020323,63656589803168,3,3,target0,9,0.85,1,False,False,False
14032018T020324,63656589804090,3,4,target7,9,0.85,1,False,False,False
14032018T020325,63656589805511,3,5,target1,9,0.85,1,False,False,False
14032018T020326,63656589806279,3,6,target8,9,0.85,1,False,False,False
14032018T020327,63656589807319,3,7,target2,9,0.85,1,False,False,False
14032018T020328,63656589808101,3,8,target5,9,0.85,1,False,False,False
14032018T020328,63656589808115,4,-1,-1,9,0.85,1,False,False,False
14032018T020328,63656589808983,4,0,target0,9,0.85,1,False,False,False
14032018T020330,63656589810237,4,1,target3,9,0.85,1,False,False,False
14032018T020331,63656589811094,4,2,target5,9,0.85,1,False,False,False
14032018T020332,63656589812111,4,3,target1,9,0.85,1,False,False,False
14032018T020332,63656589812987,4,4,target8,9,0.85,1,False,False,False
14032018T020333,63656589813981,4,5,target7,9,0.85,1,False,False,False
14032018T020335,63656589815193,4,6,target6,9,0.85,1,False,False,False
14032018T020335,63656589815921,4,7,target4,9,0.85,1,False,False,False
14032018T020336,63656589816623,4,8,target2,9,0.85,1,False,False,False
14032018T020336,63656589816636,5,-1,-1,9,0.85,1,False,False,False
14032018T020337,63656589817372,5,0,target8,9,0.85,1,False,False,False
14032018T020338,63656589818186,5,1,target6,9,0.85,1,False,False,False
14032018T020340,63656589820343,5,2,target3,9,0.85,1,False,False,False
14032018T020341,63656589821684,5,3,target4,9,0.85,1,False,False,False
14032018T020342,63656589822633,5,4,target7,9,0.85,1,False,False,False
14032018T020343,63656589823526,5,5,target5,9,0.85,1,False,False,False
14032018T020344,63656589824378,5,6,target0,9,0.85,1,False,False,False
14032018T020345,63656589825382,5,7,target2,9,0.85,1,False,False,False
14032018T020346,63656589826050,5,8,target1,9,0.85,1,False,False,False
14032018T020346,63656589826064,1,-1,-1,9,0.85,2,False,True,False
14032018T020352,63656589832804,1,0,target4,9,0.85,2,False,True,False
14032018T020356,63656589836540,1,1,target0,9,0.85,2,False,True,False
14032018T020358,63656589838025,1,2,target7,9,0.85,2,False,True,False
14032018T020359,63656589839243,1,3,target3,9,0.85,2,False,True,False
14032018T020400,63656589840264,1,4,target8,9,0.85,2,False,True,False
14032018T020404,63656589844639,1,5,target1,9,0.85,2,False,True,False
14032018T020406,63656589846271,1,6,target6,9,0.85,2,False,True,False
14032018T020406,63656589846961,1,7,target5,9,0.85,2,False,True,False
14032018T020408,63656589848749,1,8,target2,9,0.85,2,False,True,False
14032018T020408,63656589848764,2,-1,-1,9,0.85,2,False,True,False
14032018T020410,63656589850603,2,0,target5,9,0.85,2,False,True,False
14032018T020411,63656589851617,2,1,target1,9,0.85,2,False,True,False
14032018T020412,63656589852336,2,2,target2,9,0.85,2,False,True,False
14032018T020413,63656589853539,2,3,target4,9,0.85,2,False,True,False
14032018T020414,63656589854453,2,4,target0,9,0.85,2,False,True,False
14032018T020415,63656589855502,2,5,target8,9,0.85,2,False,True,False
14032018T020416,63656589856153,2,6,target7,9,0.85,2,False,True,False
14032018T020417,63656589857260,2,7,target6,9,0.85,2,False,True,False
14032018T020418,63656589858117,2,8,target3,9,0.85,2,False,True,False
14032018T020418,63656589858131,3,-1,-1,9,0.85,2,False,True,False
14032018T020419,63656589859158,3,0,target7,9,0.85,2,False,True,False
14032018T020419,63656589859947,3,1,target3,9,0.85,2,False,True,False
14032018T020421,63656589861133,3,2,target1,9,0.85,2,False,True,False
14032018T020421,63656589861754,3,3,target8,9,0.85,2,False,True,False
14032018T020422,63656589862398,3,4,target0,9,0.85,2,False,True,False
14032018T020423,63656589863469,3,5,target6,9,0.85,2,False,True,False
14032018T020424,63656589864670,3,6,target5,9,0.85,2,False,True,False
14032018T020425,63656589865283,3,7,target4,9,0.85,2,False,True,False
14032018T020426,63656589866564,3,8,target2,9,0.85,2,False,True,False
14032018T020426,63656589866577,4,-1,-1,9,0.85,2,False,True,False
14032018T020427,63656589867513,4,0,target8,9,0.85,2,False,True,False
14032018T020429,63656589869161,4,1,target4,9,0.85,2,False,True,False
14032018T020430,63656589870174,4,2,target2,9,0.85,2,False,True,False
14032018T020431,63656589871167,4,3,target6,9,0.85,2,False,True,False
14032018T020432,63656589872139,4,4,target1,9,0.85,2,False,True,False
14032018T020432,63656589872730,4,5,target0,9,0.85,2,False,True,False
14032018T020433,63656589873511,4,6,target3,9,0.85,2,False,True,False
14032018T020434,63656589874725,4,7,target5,9,0.85,2,False,True,False
14032018T020435,63656589875477,4,8,target7,9,0.85,2,False,True,False
14032018T020435,63656589875491,5,-1,-1,9,0.85,2,False,True,False
14032018T020436,63656589876157,5,0,target8,9,0.85,2,False,True,False
14032018T020437,63656589877076,5,1,target2,9,0.85,2,False,True,False
14032018T020439,63656589879287,5,2,target3,9,0.85,2,False,True,False
