Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind,
26032018T190038,6.36577E+13,1,-1,-1,9,0.85,1,FALSE,FALSE,TRUE,
26032018T190053,6.36577E+13,1,0,target3,9,0.85,1,FALSE,FALSE,TRUE,14092
26032018T190057,6.36577E+13,1,1,target7,9,0.85,1,FALSE,FALSE,TRUE,4904
26032018T190104,6.36577E+13,1,2,target5,9,0.85,1,FALSE,FALSE,TRUE,6613
26032018T190113,6.36577E+13,1,3,target0,9,0.85,1,FALSE,FALSE,TRUE,8592
26032018T190117,6.36577E+13,1,4,target4,9,0.85,1,FALSE,FALSE,TRUE,4458
26032018T190123,6.36577E+13,1,5,target8,9,0.85,1,FALSE,FALSE,TRUE,5966
26032018T190154,6.36577E+13,1,6,target2,9,0.85,1,FALSE,FALSE,TRUE,30511
26032018T190222,6.36577E+13,1,7,target1,9,0.85,1,FALSE,FALSE,TRUE,27983
26032018T190225,6.36577E+13,1,8,target6,9,0.85,1,FALSE,FALSE,TRUE,3887
26032018T190225,6.36577E+13,2,-1,-1,9,0.85,1,FALSE,FALSE,TRUE,14
26032018T190236,6.36577E+13,2,0,target3,9,0.85,1,FALSE,FALSE,TRUE,10078
26032018T190246,6.36577E+13,2,1,target8,9,0.85,1,FALSE,FALSE,TRUE,10326
26032018T190310,6.36577E+13,2,2,target6,9,0.85,1,FALSE,FALSE,TRUE,24114
26032018T190332,6.36577E+13,2,3,target2,9,0.85,1,FALSE,FALSE,TRUE,22195
26032018T190346,6.36577E+13,2,4,target4,9,0.85,1,FALSE,FALSE,TRUE,13395
26032018T190411,6.36577E+13,2,5,target0,9,0.85,1,FALSE,FALSE,TRUE,25789
26032018T190420,6.36577E+13,2,6,target1,9,0.85,1,FALSE,FALSE,TRUE,8319
26032018T190424,6.36577E+13,2,7,target7,9,0.85,1,FALSE,FALSE,TRUE,4736
26032018T190439,6.36577E+13,2,8,target5,9,0.85,1,FALSE,FALSE,TRUE,15041
26032018T190439,6.36577E+13,3,-1,-1,9,0.85,1,FALSE,FALSE,TRUE,15
26032018T190453,6.36577E+13,3,0,target0,9,0.85,1,FALSE,FALSE,TRUE,13487
26032018T190459,6.36577E+13,3,1,target1,9,0.85,1,FALSE,FALSE,TRUE,6126
26032018T190515,6.36577E+13,3,2,target3,9,0.85,1,FALSE,FALSE,TRUE,16015
26032018T190539,6.36577E+13,3,3,target5,9,0.85,1,FALSE,FALSE,TRUE,24228
26032018T190558,6.36577E+13,3,4,target2,9,0.85,1,FALSE,FALSE,TRUE,18787
26032018T190605,6.36577E+13,3,5,target8,9,0.85,1,FALSE,FALSE,TRUE,7067
26032018T190610,6.36577E+13,3,6,target6,9,0.85,1,FALSE,FALSE,TRUE,4568
26032018T190617,6.36577E+13,3,7,target4,9,0.85,1,FALSE,FALSE,TRUE,6880
26032018T190622,6.36577E+13,3,8,target7,9,0.85,1,FALSE,FALSE,TRUE,5473
